7397,OPEN,docker-compose up fails with symlinked Dockerfile,kind/bug,2020-11-21 18:16:09 +0000 UTC
7394,OPEN,Run docker-compose pull on specific yml files,kind/feature,2020-04-21 22:06:48 +0000 UTC
7392,OPEN,Support `runtime` parameter in 3.x schema,kind/feature,2020-04-21 15:46:26 +0000 UTC
7391,OPEN,Add --quiet-pull to docker-compose run,kind/feature,2020-04-21 12:45:48 +0000 UTC
7373,OPEN,docker-compose just hangs, no response,,2020-10-05 06:09:10 +0000 UTC
7370,OPEN,Pre-built binary for aarch64?,kind/feature,2020-08-11 03:18:59 +0000 UTC
7368,OPEN,docker-compose run on the openwrt routing system,kind/feature,2020-04-19 22:21:53 +0000 UTC
7355,OPEN,Backport ports long syntax to file format 2,kind/feature,2020-04-11 05:22:07 +0000 UTC
7352,OPEN,Request: handle quotation marks in .env files similar to other .env parsers,kind/feature,2020-07-28 07:39:24 +0000 UTC
7348,OPEN,docker-compose 1.26.0-rc3 from Docker Desktop for macOS doesn't use TLS ("Client sent an HTTP request to an HTTPS server."),kind/bug,2020-09-24 12:52:59 +0000 UTC
7347,OPEN,docker-compose 1.26.0rc3 installed from pip fails with "No module named 'dotenv'",kind/bug,2020-11-18 00:18:16 +0000 UTC
7346,OPEN,Why does docker-compose log to STDERR for `Building ....` instead of STDOUT when executing docker-compose build,kind/bug,2020-11-29 16:03:16 +0000 UTC
7343,OPEN,Build same images only once, even they are used in multiple services,kind/feature,2020-04-03 10:28:46 +0000 UTC
7341,OPEN,docker-compose up should support --tail option,kind/feature,2020-04-20 15:34:45 +0000 UTC
7339,OPEN,Should not log a warning when environment variable value is specified in override file,kind/bug,2020-11-08 21:57:44 +0000 UTC
7337,OPEN,Error message on exec-ing a container that doesn't exist should honor container_name,kind/feature,2020-04-02 15:45:45 +0000 UTC
7326,OPEN,Support multiple .evn files,kind/feature,2020-09-15 05:21:56 +0000 UTC
7323,OPEN,Support `extra_hosts` in `_CLIBuilder`,kind/feature,2020-08-27 11:19:03 +0000 UTC
7320,OPEN,--renew-named-volumes option on `up` to reinitialize data,kind/feature,2020-03-26 06:31:49 +0000 UTC
7319,OPEN,Failed to execute script docker-compose when doing docker-compose up on SSH context,kind/bug,2021-01-30 17:14:36 +0000 UTC
7314,OPEN,The Dockerfile could not find the docker-compose volume file,kind/bug,2021-02-03 16:02:45 +0000 UTC
